Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,12412311,24726689,25654274,26433058,27100542,27722281,28394806,29185511,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341,39835428
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666
"Population, total",SP.POP.TOTL,Algeria,DZA,25758872,32692153,33149720,33641007,34166976,34730604,35333882,35977451,36661438,37383899,38140135,38923688,39728020,40551398,41389174,42228415,43053054,43851043,44616626
"Population, total",SP.POP.TOTL,American Samoa,ASM,47351,59684,59557,59109,58367,57490,56675,56084,55755,55669,55717,55791,55806,55739,55617,55461,55312,55197,55103
"Population, total",SP.POP.TOTL,Andorra,AND,54508,76250,78871,80995,82682,83860,84461,84454,83748,82427,80770,79213,77993,77295,76997,77008,77146,77265,77354
"Population, total",SP.POP.TOTL,Angola,AGO,11848385,18758138,19433604,20149905,20905360,21695636,22514275,23356247,24220660,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268,33933611
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,62533,80347,81462,82715,84029,85394,86743,88030,89250,90407,91510,92562,93571,94520,95425,96282,97115,97928,98728
"Population, total",SP.POP.TOTL,Argentina,ARG,32618648,38491970,38892924,39289876,39684303,40080159,40482786,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747
"Population, total",SP.POP.TOTL,Armenia,ARM,3538164,3000715,2981262,2958301,2932615,2907615,2888094,2877314,2876536,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234,2968128
"Population, total",SP.POP.TOTL,Aruba,ABW,62152,98744,100028,100830,101226,101362,101452,101665,102050,102565,103165,103776,104339,104865,105361,105846,106310,106766,107195
"Population, total",SP.POP.TOTL,Australia,AUS,17065100,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25365745,25693267,25739256
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8956279
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7175200,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10145212
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,256227,318893,324848,331032,337387,343680,349600,354936,359583,363581,367162,370625,374200,377923,381749,385635,389486,393248,396914
"Population, total",SP.POP.TOTL,Bahrain,BHR,495927,829846,889157,958423,1035924,1114645,1185075,1240864,1278153,1299942,1315029,1336073,1371853,1425793,1494077,1569440,1641164,1701583,1748295
"Population, total",SP.POP.TOTL,Bangladesh,BGD,103171957,136986429,139035505,140921154,142660381,144304164,145924795,147575433,149273134,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383,166303494
"Population, total",SP.POP.TOTL,Barbados,BRB,260933,275283,276320,277475,278701,279946,281107,282131,282987,283698,284294,284825,285327,285798,286229,286640,287021,287371,287708
"Population, total",SP.POP.TOTL,Belarus,BLR,10189348,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9340314
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11544241,11587882
"Population, total",SP.POP.TOTL,Belize,BLZ,187554,276516,283798,291338,299031,306822,314655,322465,330236,338001,345707,353366,360926,368399,375775,383071,390351,397621,404915
"Population, total",SP.POP.TOTL,Benin,BEN,4978489,7750003,7982223,8216893,8454790,8696915,8944713,9199254,9460829,9729254,10004594,10286839,10575962,10872072,11175192,11485035,11801151,12123198,12451031
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65138,65237,64554,63873,63918,63911,63893,63867
