,c_i_child,c_i_parent,counts,p
0,1,1,256,0.256
1,1,2,124,0.124
2,1,3,95,0.095
3,1,4,69,0.069
4,1,5,50,0.05
5,1,6,39,0.039
6,1,7,30,0.03
7,1,8,40,0.04
8,1,9,26,0.026
9,1,10,26,0.026
10,1,11,18,0.018
11,1,12,14,0.014
12,1,13,21,0.021
13,1,14,10,0.01
14,1,15,11,0.011
15,1,16,10,0.01
16,1,17,14,0.014
17,1,18,12,0.012
18,1,19,12,0.012
19,1,20,6,0.006
20,1,21,5,0.005
21,1,22,10,0.01
22,1,23,9,0.009
23,1,24,7,0.007
24,1,25,9,0.009
25,1,26,5,0.005
26,1,27,12,0.012
27,1,28,6,0.006
28,1,29,5,0.005
29,1,30,2,0.002
30,1,31,5,0.005
31,1,32,2,0.002
32,1,33,2,0.002
33,1,34,2,0.002
34,1,35,1,0.001
35,1,36,6,0.006
36,1,37,1,0.001
37,1,38,4,0.004
38,1,39,2,0.002
39,1,40,0,0.0
40,1,41,4,0.004
41,1,42,1,0.001
42,1,43,0,0.0
43,1,44,3,0.003
44,1,45,2,0.002
45,1,46,0,0.0
46,1,47,1,0.001
47,1,48,0,0.0
48,1,49,0,0.0
49,1,50,1,0.001
50,1,51,1,0.001
51,1,52,1,0.001
52,1,53,2,0.002
53,1,54,2,0.002
54,1,55,0,0.0
55,1,56,0,0.0
56,1,57,0,0.0
57,1,58,0,0.0
58,1,59,0,0.0
59,1,60,0,0.0
60,1,61,0,0.0
61,1,62,1,0.001
62,1,63,2,0.002
63,1,64,1,0.001
64,1,65,0,0.0
65,1,66,0,0.0
66,1,67,0,0.0
67,1,68,0,0.0
68,1,69,0,0.0
69,1,70,0,0.0
70,1,71,0,0.0
71,1,72,0,0.0
72,1,73,0,0.0
73,1,74,0,0.0
74,1,75,0,0.0
75,1,76,0,0.0
76,1,77,0,0.0
77,1,78,0,0.0
78,1,79,0,0.0
79,1,80,0,0.0
80,1,81,0,0.0
81,1,82,0,0.0
82,1,83,0,0.0
83,1,84,0,0.0
84,1,85,0,0.0
85,1,86,0,0.0
86,1,87,0,0.0
87,1,88,0,0.0
88,1,89,0,0.0
89,1,90,0,0.0
90,1,91,0,0.0
91,1,92,0,0.0
92,1,93,0,0.0
93,1,94,0,0.0
